MATNR	ZZVWERK
0820051552	ASCO
0820051566	ASCO
0820051702	ASCO
0820051707	ASCO
0820051712	ASCO
0820051717	ASCO
0820051752	ASCO
0820051757	ASCO
0820051762	ASCO
0820051767	ASCO
0820051980	ASCO
0820051981	ASCO
0820051982	ASCO
0820051990	ASCO
0820051991	ASCO
0820051992	ASCO
0820052001	ASCO
0820052002	ASCO
0820052004	ASCO
0820052006	ASCO
0820052026	ASCO
0820052052	ASCO
0820052053	ASCO
0820052054	ASCO
0820052056	ASCO
0820052101	ASCO
0820052102	ASCO
0820052106	ASCO
0820052126	ASCO
0820052151	ASCO
0820052402	ASCO
0820052412	ASCO
0820052426	ASCO
0820052436	ASCO
0820052452	ASCO
0820052462	ASCO
0820052502	ASCO
0820052512	ASCO
0820052526	ASCO
0820052536	ASCO
0820052552	ASCO
0820052562	ASCO
0820052980	ASCO
0820052981	ASCO
0820052982	ASCO
0820052990	ASCO
0820052991	ASCO
0820052992	ASCO
0820053002	ASCO
0820053006	ASCO
0820053025	ASCO
0820053026	ASCO
0820053056	ASCO
0820053102	ASCO
0820053103	ASCO
0820053106	ASCO
0820053156	ASCO
0820053402	ASCO
0820053406	ASCO
0820053426	ASCO
0820053430	ASCO
0820053452	ASCO
0820053456	ASCO
0820053502	ASCO
0820053506	ASCO
0820053526	ASCO
0820053530	ASCO
0820053552	ASCO
0820053556	ASCO
0820053980	ASCO
0820053981	ASCO
0820053982	ASCO
0820053990	ASCO
0820053991	ASCO
0820053992	ASCO
0820204003	ASCO
0820204006	ASCO
0820204007	ASCO
0820205003	ASCO
0820205006	ASCO
0820212001	ASCO
0820212002	ASCO
0820213001	ASCO
0820213004	ASCO
0820223505	ASCO
0820223506	ASCO
0820238001	ASCO
0820238002	ASCO
0820238006	ASCO
0820238101	ASCO
0820238102	ASCO
0820238103	ASCO
0820238104	ASCO
0820239001	ASCO
0820239002	ASCO
0820239003	ASCO
0820239104	ASCO
0820239105	ASCO
0820239106	ASCO
0820251001	ASCO
0820251002	ASCO
0820251003	ASCO
0820251004	ASCO
0820252001	ASCO
0820253002	ASCO
0820253003	ASCO
0820402001	ASCO
0820402002	ASCO
0820402003	ASCO
0820402004	ASCO
0820402005	ASCO
0820402008	ASCO
0820402009	ASCO
0820402010	ASCO
0820402011	ASCO
0820402014	ASCO
0820402015	ASCO
0820402016	ASCO
0820402017	ASCO
0820402018	ASCO
0820402019	ASCO
0820402022	ASCO
0820402023	ASCO
0820402030	ASCO
0820402032	ASCO
0820402034	ASCO
0820402040	ASCO
0820402046	ASCO
0820403001	ASCO
0820403002	ASCO
0820403003	ASCO
0820403004	ASCO
0820403005	ASCO
0820403008	ASCO
0820403009	ASCO
0820403010	ASCO
0820403011	ASCO
0820403014	ASCO
0820403015	ASCO
0820403016	ASCO
0820403017	ASCO
0820403018	ASCO
0820403019	ASCO
0820403022	ASCO
0820403023	ASCO
0820403026	ASCO
0820403030	ASCO
0820403031	ASCO
0820403035	ASCO
0820403043	ASCO
1821016003	ASCO
1827001036	ASCO
1827009094	ASCO
1827009095	ASCO
1827009102	ASCO
1827009109	ASCO
1827009111	ASCO
1827009112	ASCO
1827009113	ASCO
1827009114	ASCO
1827009225	ASCO
1827009537	ASCO
2611091800	ASCO
2621701110	ASCO
